model,hidden_layer,neurons,activation,optimizer_lr,loss,epochs,batch_size,model_run_time,RMSE,Sequential_RMSE,offest_at_50_percent_probility
LSTM,3,288,tanh,1e-05,logcosh at,216,72,1045.4,3.995,0.952,0.01984
LSTM,1,288,relu,0.001,mean_squared_error at,144,36,355.3,3.753,0.932,0.01937
LSTM,1,36,sigmoid,0.01,mean_absolute_error at,144,72,120.5,4.793,1.131,0.03267
LSTM,1,72,sigmoid,1e-05,logcosh at,144,72,165.9,20.409,18.181,0.05139
LSTM,2,36,relu,1e-05,logcosh at,216,36,580.7,5.074,1.414,0.02219
LSTM,1,288,sigmoid,0.01,logcosh at,144,72,485.9,3.972,3.669,0.06220
LSTM,1,64,tanh,0.0001,mean_absolute_error at,100,36,330.1,3.440,0.954,0.01810
LSTM,2,144,tanh,0.0001,mean_absolute_error at,288,288,404.5,4.516,0.897,0.01670
LSTM,1,72,sigmoid,1e-05,logcosh at,288,288,198.9,28.104,28.004,0.05167
LSTM,2,144,sigmoid,0.0001,mean_absolute_error at,216,72,763.1,2.723,0.992,0.02038
LSTM,1,48,tanh,0.0001,mean_absolute_error at,300,36,798.4,3.347,0.890,0.01742
LSTM,1,288,relu,0.0001,mean_squared_error at,288,72,1122.2,2.268,0.960,0.01915
LSTM,1,72,relu,1e-05,mean_squared_error at,144,288,147.4,33.180,35.598,0.05227
LSTM,2,144,relu,0.001,mean_squared_error at,216,144,640.9,3.345,1.073,0.01907
LSTM,1,36,tanh,0.001,mean_absolute_error at,216,144,177.6,3.619,0.882,0.01679
LSTM,1,8,tanh,0.0001,mean_absolute_error at,500,36,1071.6,3.345,0.913,0.01824
LSTM,2,144,sigmoid,0.001,mean_absolute_error at,216,72,911.1,2.711,1.269,0.02952
LSTM,1,144,relu,0.001,mean_squared_error at,216,36,893.6,1.615,1.040,0.02509
LSTM,1,72,relu,0.001,logcosh at,216,288,191.4,3.685,0.956,0.01894
LSTM,1,36,relu,0.01,mean_squared_error at,288,36,922.6,1.470,0.905,0.01773
LSTM,1,36,sigmoid,0.0001,logcosh at,288,288,173.6,14.955,13.019,0.04959
LSTM,1,72,tanh,0.0001,mean_absolute_error at,800,36,2048.9,3.740,0.879,0.01688
LSTM,1,36,relu,0.001,mean_squared_error at,216,36,727.8,1.475,0.908,0.02342
