model,hidden_layer,neurons,activation,optimizer_lr,loss,epochs,batch_size,model_run_time,RMSE,Sequential_RMSE,offest_at_50_percent_probility
LSTM,4,144,tanh,0.001,mean_squared_error at,216,36,530.1,3.938,1.355,0.02321
LSTM,4,36,sigmoid,1e-05,logcosh at,288,72,246.5,23.439,20.983,0.05232
LSTM,1,36,relu,1e-05,mean_absolute_error at,216,144,52.0,19.590,18.873,0.05450
LSTM,2,72,tanh,0.01,mean_squared_error at,288,288,57.6,1.739,1.093,0.02347
LSTM,3,72,tanh,1e-05,mean_squared_error at,288,72,206.4,5.818,1.396,0.02654
LSTM,4,144,tanh,1e-05,mean_squared_error at,216,36,547.4,2.279,1.779,0.02912
LSTM,2,72,sigmoid,0.01,mean_absolute_error at,216,144,65.5,2.507,1.425,0.02038
LSTM,1,36,tanh,0.001,mean_squared_error at,216,36,109.7,1.739,1.244,0.02243
LSTM,3,36,sigmoid,0.001,logcosh at,144,36,189.9,1.751,1.097,0.01961
LSTM,2,288,sigmoid,0.01,mean_squared_error at,144,144,162.9,1.789,1.222,0.02454
LSTM,2,144,relu,1e-05,mean_absolute_error at,216,144,139.5,3.723,1.395,0.02395
LSTM,3,288,sigmoid,0.01,logcosh at,144,144,258.5,2.423,1.163,0.02122
LSTM,4,288,tanh,0.0001,mean_squared_error at,216,288,383.8,3.336,1.689,0.02857
LSTM,4,36,tanh,1e-05,mean_absolute_error at,288,72,238.1,6.364,3.704,0.04493
LSTM,4,144,sigmoid,1e-05,mean_squared_error at,144,288,101.1,23.306,20.973,0.05062
LSTM,3,72,tanh,0.0001,logcosh at,144,288,51.6,6.042,1.620,0.03407
LSTM,1,144,sigmoid,0.0001,logcosh at,216,72,98.3,5.040,1.134,0.02094
LSTM,3,72,tanh,1e-05,mean_squared_error at,288,36,389.3,3.848,1.904,0.03223
LSTM,4,36,tanh,0.01,logcosh at,216,288,69.7,2.110,1.442,0.02835
LSTM,2,36,sigmoid,1e-05,mean_absolute_error at,288,36,253.7,10.051,9.942,0.04765
LSTM,2,72,relu,0.001,logcosh at,144,288,48.8,2.334,1.166,0.01906
LSTM,3,72,relu,0.001,logcosh at,288,36,715.2,1.938,1.246,0.02347
LSTM,2,72,sigmoid,0.001,logcosh at,144,288,39.0,4.237,1.282,0.02393
LSTM,3,36,sigmoid,0.01,logcosh at,288,288,71.3,3.261,1.174,0.02258
LSTM,3,36,sigmoid,0.001,logcosh at,144,36,198.8,2.074,1.538,0.03356
LSTM,3,36,sigmoid,0.01,logcosh at,144,36,199.0,1.714,1.243,0.02347
LSTM,3,36,sigmoid,0.01,logcosh at,144,36,199.0,1.838,1.255,0.02782
LSTM,3,36,sigmoid,0.001,logcosh at,144,36,199.6,1.888,1.332,0.03132
LSTM,3,36,sigmoid,0.001,logcosh at,144,36,201.3,1.744,1.215,0.02230
LSTM,3,36,sigmoid,0.0001,logcosh at,144,36,200.6,3.666,1.163,0.02299
LSTM,3,288,sigmoid,0.01,logcosh at,144,36,734.8,23.644,21.125,0.04956
LSTM,1,36,relu,0.001,logcosh at,144,36,128.5,1.698,1.119,0.01896
LSTM,3,36,sigmoid,0.01,logcosh at,144,72,112.2,2.821,1.144,0.01948
LSTM,1,36,sigmoid,0.001,mean_absolute_error at,144,72,50.0,2.684,1.133,0.01933
LSTM,3,36,relu,0.01,logcosh at,144,72,168.0,4.134,1.150,0.01897
LSTM,3,144,sigmoid,0.0001,logcosh at,144,72,181.2,3.845,1.297,0.02107
LSTM,1,288,sigmoid,0.001,mean_absolute_error at,144,72,128.8,4.272,1.529,0.03987
LSTM,3,36,sigmoid,0.01,logcosh at,144,72,114.2,3.014,1.126,0.01922
LSTM,3,36,relu,0.01,logcosh at,144,72,168.2,2.172,1.076,0.01927
LSTM,4,144,sigmoid,0.001,mean_squared_error at,216,144,220.2,1.866,1.339,0.02554
LSTM,3,288,sigmoid,0.01,mean_absolute_error at,288,72,821.3,2.680,1.218,0.01905
LSTM,1,36,relu,0.001,logcosh at,144,144,49.9,1.737,1.086,0.01946
LSTM,2,36,sigmoid,0.0001,mean_squared_error at,216,72,114.5,5.238,1.131,0.01902
LSTM,4,144,tanh,0.01,mean_absolute_error at,144,144,154.9,2.806,1.366,0.02276
LSTM,3,288,sigmoid,1e-05,logcosh at,144,72,433.4,22.915,20.733,0.05361
LSTM,3,36,tanh,0.001,mean_squared_error at,288,72,203.4,1.709,1.103,0.01894
LSTM,4,144,tanh,0.001,mean_squared_error at,288,144,291.2,1.845,1.403,0.02183
LSTM,1,72,tanh,0.001,mean_squared_error at,288,36,184.3,4.445,1.364,0.02319
LSTM,2,36,tanh,0.001,mean_squared_error at,288,72,150.6,4.053,1.142,0.01969
LSTM,2,36,tanh,0.001,mean_squared_error at,288,72,151.8,1.765,1.160,0.02065
LSTM,2,288,tanh,0.001,mean_squared_error at,288,72,530.6,1.656,1.101,0.02137
LSTM,2,288,tanh,0.001,mean_squared_error at,288,72,530.3,4.280,1.156,0.01992
LSTM,2,288,tanh,1e-05,mean_squared_error at,288,72,534.5,4.320,1.453,0.02485
LSTM,2,288,tanh,0.001,mean_squared_error at,288,72,533.1,1.745,1.097,0.02038
LSTM,2,288,tanh,0.0001,mean_squared_error at,288,72,533.5,3.012,1.755,0.03381
LSTM,2,288,tanh,0.001,mean_squared_error at,288,288,253.2,1.797,1.273,0.02289
LSTM,2,288,tanh,1e-05,mean_squared_error at,288,288,253.4,7.382,5.839,0.05183
LSTM,4,72,tanh,0.001,mean_squared_error at,288,288,128.1,1.703,1.073,0.02057
LSTM,2,288,tanh,0.0001,mean_squared_error at,288,288,254.9,2.508,1.761,0.03131
LSTM,1,144,tanh,0.001,mean_squared_error at,216,288,52.6,3.046,1.728,0.03082
LSTM,2,72,tanh,0.001,mean_squared_error at,288,288,76.9,1.900,1.235,0.02363
LSTM,2,288,tanh,1e-05,mean_squared_error at,288,288,255.2,7.082,6.406,0.05124
LSTM,4,288,relu,0.001,mean_absolute_error at,216,288,438.7,1.750,1.203,0.01792
LSTM,1,72,tanh,0.0001,mean_squared_error at,288,288,50.0,4.381,1.566,0.02593
LSTM,2,144,tanh,0.001,mean_squared_error at,288,144,166.7,5.464,1.315,0.02526
LSTM,2,288,tanh,0.001,mean_squared_error at,288,72,543.0,4.205,1.225,0.02262
LSTM,2,288,tanh,0.001,mean_squared_error at,288,72,539.3,2.495,1.149,0.02180
LSTM,2,288,tanh,0.001,mean_squared_error at,288,288,258.6,1.815,1.094,0.02075
LSTM,2,288,tanh,0.001,mean_squared_error at,288,288,257.7,2.623,1.073,0.02028
LSTM,2,288,tanh,0.001,mean_squared_error at,288,288,258.4,5.617,1.077,0.01905
LSTM,2,288,tanh,0.001,mean_squared_error at,288,288,258.5,1.842,1.251,0.02343
LSTM,3,288,tanh,0.001,mean_squared_error at,288,288,398.5,2.919,1.604,0.03248
LSTM,2,288,relu,0.001,mean_absolute_error at,288,288,276.5,1.724,1.155,0.01789
LSTM,3,288,tanh,0.001,mean_squared_error at,216,288,304.8,2.641,1.134,0.02082
LSTM,4,288,tanh,1e-05,mean_squared_error at,288,288,534.7,5.495,1.695,0.03058
LSTM,2,36,tanh,0.001,mean_squared_error at,288,288,65.8,2.125,1.281,0.02586
LSTM,3,72,relu,0.0001,mean_absolute_error at,288,144,238.3,4.110,1.160,0.01779
LSTM,1,144,tanh,0.001,mean_squared_error at,216,288,58.7,2.889,1.510,0.02655
LSTM,2,36,tanh,0.001,mean_squared_error at,288,288,66.8,2.428,1.167,0.02106
LSTM,3,288,tanh,0.001,mean_squared_error at,288,144,541.8,1.719,1.064,0.02128
LSTM,4,36,relu,1e-05,mean_absolute_error at,288,288,163.2,29.518,29.930,0.05329
LSTM,2,288,tanh,0.001,mean_squared_error at,288,288,265.9,4.538,1.172,0.02066
LSTM,3,144,tanh,0.0001,mean_squared_error at,216,36,478.3,3.054,1.639,0.03352
LSTM,1,72,tanh,0.001,mean_squared_error at,288,288,57.2,4.969,1.120,0.01979
LSTM,1,72,relu,0.01,mean_squared_error at,288,288,77.5,2.286,1.208,0.02101
LSTM,1,72,tanh,0.001,mean_absolute_error at,288,288,58.3,4.508,1.136,0.01817
LSTM,1,72,tanh,0.001,mean_squared_error at,288,288,57.2,2.079,1.323,0.02418
LSTM,1,72,tanh,1e-05,mean_squared_error at,216,288,49.4,28.384,28.707,0.04812
LSTM,1,72,tanh,0.001,mean_squared_error at,288,288,58.9,2.569,1.389,0.02755
LSTM,1,72,relu,0.01,mean_squared_error at,288,288,78.6,1.764,1.118,0.01937
LSTM,1,72,tanh,0.0001,mean_absolute_error at,288,288,58.7,4.584,1.157,0.01961
LSTM,1,72,tanh,0.001,mean_squared_error at,288,144,78.8,2.592,1.185,0.02093
LSTM,1,72,tanh,0.001,mean_squared_error at,216,288,50.8,3.084,1.631,0.03282
LSTM,1,72,tanh,1e-05,mean_squared_error at,288,36,215.2,3.801,1.553,0.02506
LSTM,1,72,tanh,0.001,mean_squared_error at,288,288,59.3,2.944,1.543,0.02718
LSTM,1,72,relu,0.01,mean_absolute_error at,288,288,78.4,3.329,1.120,0.01765
LSTM,1,72,relu,0.01,mean_absolute_error at,288,288,79.6,4.735,1.604,0.03175
LSTM,1,72,relu,0.01,mean_absolute_error at,216,144,94.9,5.752,1.140,0.01854
LSTM,1,72,relu,0.01,mean_absolute_error at,288,36,323.3,1.682,1.242,0.02198
LSTM,1,72,relu,0.01,mean_absolute_error at,288,288,80.2,4.832,1.088,0.01864
LSTM,1,72,relu,0.01,mean_absolute_error at,288,288,80.2,3.837,1.458,0.02575
LSTM,3,144,tanh,0.01,logcosh at,216,288,188.6,1.773,1.202,0.02179
LSTM,1,36,tanh,0.0001,logcosh at,216,36,182.9,5.128,1.101,0.01867
LSTM,3,72,sigmoid,0.0001,logcosh at,288,72,380.0,2.355,1.159,0.02146
LSTM,1,144,tanh,1e-05,mean_absolute_error at,288,72,205.0,3.582,1.173,0.02026
LSTM,4,36,relu,1e-05,logcosh at,216,72,429.6,12.451,10.635,0.05225
LSTM,1,36,tanh,0.001,mean_absolute_error at,144,144,54.4,2.501,1.098,0.02012
LSTM,2,36,relu,1e-05,logcosh at,144,144,141.2,26.821,26.396,0.05573
LSTM,1,144,sigmoid,0.001,logcosh at,144,72,219.4,3.202,1.526,0.02749
LSTM,1,288,relu,0.01,logcosh at,144,72,512.7,2.497,1.200,0.02185
LSTM,2,288,sigmoid,0.01,mean_absolute_error at,144,72,1175.8,1.741,1.206,0.02371
LSTM,1,24,tanh,0.0001,mean_absolute_error at,300,36,749.9,1.713,1.124,0.01756
LSTM,1,288,sigmoid,1e-05,mean_squared_error at,216,72,818.2,13.519,12.623,0.04999
