model,neurons,activation,optimizer_lr,loss,epochs,batch_size,RMSE,Sequential_RMSE,model_run_time
LSTM,72,tanh,0.01,logcosh at,72,144,24.184,6.1
LSTM,36,relu,0.0001,mean_absolute_error at,72,144,33.460,2.5
LSTM,144,sigmoid,0.0001,mean_squared_error at,144,72,7.060,1.5
LSTM,144,tanh,0.001,mean_squared_error at,72,144,8.053,1.3
LSTM,144,relu,0.001,logcosh at,72,72,7.732,3.9
LSTM,36,relu,0.0001,logcosh at,144,72,8.938,1.344,27.5
LSTM,36,sigmoid,0.001,mean_absolute_error at,72,72,7.839,0.710,14.8
LSTM,144,tanh,0.001,logcosh at,72,144,9.454,1.956,28.6
LSTM,36,sigmoid,0.01,logcosh at,72,36,20.160,8.354,25.5
LSTM,144,tanh,0.001,mean_squared_error at,36,72,12.314,3.194,20.1
LSTM,36,sigmoid,0.0001,mean_absolute_error at,144,36,6.854,0.765,47.4
LSTM,36,sigmoid,0.001,mean_squared_error at,36,144,8.046,2.169,5.6
LSTM,72,sigmoid,0.01,logcosh at,36,72,35.642,33.023,10.7
LSTM,144,tanh,0.001,mean_absolute_error at,144,72,5.103,2.130,74.2
LSTM,36,tanh,0.001,mean_squared_error at,72,144,7.536,2.393,9.7
LSTM,144,sigmoid,0.001,logcosh at,576,72,10.442,7.911,183.4
LSTM,36,tanh,0.0001,mean_squared_error at,288,36,6.906,0.912,169.7
LSTM,36,sigmoid,0.01,mean_squared_error at,576,72,19.573,16.102,171.0
LSTM,36,sigmoid,0.0001,mean_absolute_error at,144,72,9.593,0.885,43.5
LSTM,144,sigmoid,0.01,mean_absolute_error at,576,144,19.272,12.704,85.4
LSTM,72,sigmoid,0.001,mean_squared_error at,144,144,7.547,1.263,23.1
LSTM,36,tanh,0.0001,logcosh at,576,36,7.073,1.825,329.3
LSTM,72,sigmoid,0.001,logcosh at,144,72,6.641,1.960,43.3
LSTM,72,relu,0.01,logcosh at,576,72,13.359,4.682,166.3
LSTM,144,sigmoid,0.01,mean_squared_error at,144,36,22.805,20.182,83.6
LSTM,36,tanh,0.01,mean_squared_error at,576,36,16.530,12.273,328.9
LSTM,144,tanh,0.0001,logcosh at,288,36,11.559,0.910,167.0
LSTM,36,relu,0.0001,mean_squared_error at,576,36,7.199,1.990,331.5
LSTM,144,relu,0.01,mean_squared_error at,288,36,9.788,6.036,164.2
LSTM,144,sigmoid,0.0001,logcosh at,144,144,12.076,1.602,24.3
LSTM,144,sigmoid,0.01,logcosh at,288,36,10.782,6.177,167.9
LSTM,36,sigmoid,0.001,mean_squared_error at,576,36,6.400,2.387,334.3
LSTM,36,relu,0.001,mean_absolute_error at,144,72,8.325,1.399,45.0
LSTM,36,relu,0.0001,logcosh at,576,72,7.622,0.886,172.6
LSTM,144,relu,0.0001,logcosh at,576,144,8.147,1.253,89.7
LSTM,36,sigmoid,0.0001,mean_squared_error at,144,144,147.976,43.416,25.1
LSTM,72,sigmoid,0.01,logcosh at,144,36,6.593,1.709,87.8
LSTM,72,sigmoid,0.01,logcosh at,576,144,11.036,10.043,91.2
LSTM,144,tanh,0.0001,mean_absolute_error at,288,72,8.343,0.760,88.1
LSTM,144,tanh,0.0001,mean_absolute_error at,288,72,7.302,0.860,88.0
LSTM,36,tanh,0.0001,mean_absolute_error at,288,72,5.744,0.903,88.4
LSTM,36,tanh,0.0001,mean_absolute_error at,288,72,5.713,0.745,88.9
LSTM,144,tanh,0.0001,mean_absolute_error at,288,36,7.302,0.890,170.6
LSTM,144,tanh,0.0001,mean_absolute_error at,288,36,6.223,1.011,171.4
LSTM,144,tanh,0.0001,mean_absolute_error at,288,36,8.644,1.229,172.3
LSTM,144,tanh,0.0001,mean_absolute_error at,288,36,6.933,0.826,172.6
LSTM,144,tanh,0.0001,logcosh at,288,36,7.947,1.007,176.1
LSTM,144,tanh,0.001,mean_absolute_error at,288,36,6.425,2.254,174.2
LSTM,144,tanh,0.0001,mean_absolute_error at,288,36,5.210,0.783,174.4
LSTM,144,tanh,0.0001,logcosh at,288,36,6.397,1.232,177.3
LSTM,144,tanh,0.001,mean_absolute_error at,288,36,5.819,1.282,175.4
LSTM,72,tanh,0.001,logcosh at,288,36,8.299,4.294,177.0
LSTM,144,tanh,0.001,logcosh at,288,144,9.189,1.224,50.2
LSTM,72,tanh,0.001,mean_absolute_error at,288,144,7.482,0.860,49.8
LSTM,144,tanh,0.001,logcosh at,288,144,7.780,1.621,50.8
LSTM,144,tanh,0.001,mean_absolute_error at,288,144,6.919,2.153,50.6
LSTM,72,tanh,0.001,mean_squared_error at,144,144,7.954,1.487,28.3
LSTM,144,relu,0.001,logcosh at,288,144,6.059,3.708,51.6
LSTM,144,tanh,0.001,logcosh at,288,144,8.920,2.467,51.9
LSTM,144,tanh,0.001,mean_squared_error at,144,144,6.931,1.435,29.2
LSTM,144,relu,0.001,mean_absolute_error at,576,144,6.470,1.743,97.9
LSTM,72,tanh,0.001,logcosh at,288,144,6.849,1.169,52.8
LSTM,144,sigmoid,0.001,mean_squared_error at,288,144,9.829,6.616,52.3
LSTM,144,relu,0.001,logcosh at,576,72,8.744,1.229,185.4
LSTM,36,tanh,0.001,mean_absolute_error at,144,144,7.974,0.945,30.1
LSTM,144,sigmoid,0.01,mean_squared_error at,288,36,27.610,8.273,183.8
LSTM,72,relu,0.001,logcosh at,576,144,9.707,3.913,100.2
LSTM,144,tanh,0.01,logcosh at,144,36,17.796,2.426,97.3
LSTM,36,sigmoid,0.001,mean_absolute_error at,288,72,6.863,2.176,97.7
LSTM,144,tanh,0.001,mean_squared_error at,576,36,8.164,2.264,364.8
LSTM,72,relu,0.01,logcosh at,288,144,10.307,3.846,54.6
LSTM,36,tanh,0.001,mean_absolute_error at,144,72,6.328,1.627,52.9
LSTM,144,sigmoid,0.001,logcosh at,288,36,9.885,5.411,187.2
LSTM,144,tanh,0.01,mean_absolute_error at,576,144,9.257,6.200,100.9
LSTM,36,tanh,0.001,mean_squared_error at,288,36,7.538,1.577,187.1
LSTM,144,relu,0.001,logcosh at,288,72,6.245,1.148,99.1
LSTM,144,sigmoid,0.01,mean_absolute_error at,144,144,102.540,95.116,32.0
LSTM,72,tanh,0.001,mean_absolute_error at,288,36,6.830,1.597,187.7
LSTM,144,tanh,0.001,logcosh at,576,36,10.140,2.047,371.1
LSTM,36,tanh,0.001,mean_absolute_error at,288,72,6.837,2.835,101.2
LSTM,144,relu,0.01,mean_squared_error at,288,144,14.032,1.238,56.4
LSTM,144,tanh,0.001,logcosh at,144,36,10.431,1.526,100.8
LSTM,72,sigmoid,0.001,logcosh at,144,36,11.103,7.889,101.0
LSTM,144,tanh,0.001,logcosh at,144,36,7.811,2.032,101.3
LSTM,144,tanh,0.001,logcosh at,144,36,9.724,2.136,101.6
LSTM,144,tanh,0.001,logcosh at,144,36,8.462,1.884,102.0
LSTM,144,tanh,0.001,logcosh at,144,36,13.194,6.669,102.2
LSTM,144,tanh,0.001,logcosh at,144,36,14.424,3.345,102.7
LSTM,144,tanh,0.001,logcosh at,144,36,11.982,4.247,102.9
LSTM,144,tanh,0.001,logcosh at,144,36,6.598,1.978,103.1
LSTM,144,tanh,0.001,logcosh at,288,36,12.640,6.403,195.5
LSTM,144,tanh,0.001,mean_absolute_error at,144,36,6.539,1.006,103.4
LSTM,144,tanh,0.001,logcosh at,288,144,9.972,5.797,59.6
LSTM,144,tanh,0.001,mean_absolute_error at,288,36,7.248,4.007,195.9
LSTM,144,tanh,0.01,logcosh at,144,72,8.627,2.324,58.0
LSTM,36,tanh,0.0001,logcosh at,576,144,9.045,1.201,109.2
LSTM,144,relu,0.001,mean_squared_error at,288,36,9.175,2.204,195.9
LSTM,72,tanh,0.001,mean_absolute_error at,288,144,10.474,3.936,60.0
LSTM,144,sigmoid,0.001,logcosh at,144,36,18.208,17.182,105.5
LSTM,144,tanh,0.0001,mean_absolute_error at,288,36,4.660,1.236,199.3
LSTM,36,tanh,0.001,logcosh at,576,144,7.059,1.998,111.0
LSTM,144,tanh,0.01,mean_squared_error at,288,72,16.954,5.242,106.3
LSTM,72,relu,0.001,mean_absolute_error at,144,36,6.183,2.348,106.2
LSTM,144,sigmoid,0.001,logcosh at,288,144,13.666,12.004,62.6
LSTM,144,tanh,0.0001,logcosh at,288,36,8.689,2.379,203.1
LSTM,144,tanh,0.001,mean_absolute_error at,144,144,6.573,3.765,37.4
LSTM,36,tanh,0.001,mean_squared_error at,576,72,9.600,0.880,206.4
LSTM,36,tanh,0.01,mean_squared_error at,576,72,6.220,1.371,204.4
LSTM,36,relu,0.001,mean_squared_error at,576,72,7.288,1.888,205.5
LSTM,36,sigmoid,0.001,mean_squared_error at,576,72,7.948,2.854,205.6
LSTM,36,tanh,0.0001,mean_squared_error at,576,72,6.126,2.187,205.6
LSTM,36,tanh,0.001,mean_squared_error at,576,72,7.782,1.975,206.0
LSTM,36,tanh,0.001,mean_squared_error at,576,72,7.821,1.496,206.4
LSTM,36,relu,0.01,mean_squared_error at,576,72,14.177,6.615,207.6
LSTM,36,tanh,0.001,mean_squared_error at,576,72,9.125,1.952,208.2
LSTM,36,sigmoid,0.0001,mean_squared_error at,576,72,7.637,0.906,207.8
LSTM,36,tanh,0.001,mean_squared_error at,576,72,5.580,1.945,209.2
LSTM,72,tanh,0.001,logcosh at,576,144,9.758,1.911,116.4
LSTM,36,tanh,0.001,logcosh at,144,72,9.333,3.223,64.1
LSTM,36,relu,0.01,mean_squared_error at,144,144,69.776,16.754,39.9
LSTM,72,tanh,0.001,logcosh at,576,72,9.453,7.227,212.2
LSTM,36,sigmoid,0.001,logcosh at,144,144,9.280,1.033,40.2
LSTM,72,tanh,0.0001,mean_squared_error at,576,72,7.397,0.773,211.2
LSTM,36,tanh,0.001,logcosh at,144,144,7.602,2.379,41.0
LSTM,36,tanh,0.001,logcosh at,576,144,5.595,2.164,120.0
LSTM,144,relu,0.01,mean_squared_error at,144,72,9.489,2.230,64.9
LSTM,72,tanh,0.001,logcosh at,576,144,6.264,1.917,119.4
LSTM,144,sigmoid,0.001,logcosh at,144,72,7.522,3.167,65.8
LSTM,36,tanh,0.0001,mean_squared_error at,144,144,8.485,2.348,41.4
LSTM,144,tanh,0.001,logcosh at,576,72,7.307,1.614,217.7
LSTM,144,tanh,0.001,logcosh at,144,144,6.365,0.971,42.4
LSTM,36,tanh,0.001,mean_squared_error at,288,72,9.914,1.814,116.0
LSTM,144,relu,0.01,logcosh at,576,36,17.848,18.341,419.2
LSTM,72,sigmoid,0.001,logcosh at,288,144,10.459,4.972,68.5
LSTM,144,tanh,0.0001,mean_squared_error at,144,36,10.886,2.166,116.6
LSTM,144,tanh,0.001,logcosh at,576,72,10.235,1.155,221.5
LSTM,36,tanh,0.001,mean_squared_error at,288,144,7.717,2.102,69.1
LSTM,144,tanh,0.01,logcosh at,144,36,14.171,5.218,119.2
