idx,symbol,date_group,price_1,qty_ratio_1,price_2,qty_ratio_2,price_3,qty_ratio_3,qty_total,price_item_count,future_buy_price,future_sell_price
1,1101,20180523_20180524_20180525,44.0,0.7384,44.34,0.1954,44.94,0.0491,59639,41,44.3,42.95
2,1101,20180524_20180525_20180528,43.99,0.733,44.27,0.067,44.77,0.0297,53583,26,44.0,42.9
3,1101,20180525_20180528_20180529,43.2,0.1919,44.01,0.6064,44.81,0.0059,57079,43,44.25,43.45
4,1101,20180528_20180529_20180530,43.06,0.1941,43.41,0.1411,43.98,0.4399,61705,29,44.25,43.5
5,1101,20180529_20180530_20180531,43.12,0.1713,43.62,0.3461,44.01,0.1853,69903,28,44.15,43.85
6,1101,20180530_20180531_20180601,43.05,0.0441,43.64,0.5345,44.01,0.2265,60438,28,45.7,44.45
7,1101,20180531_20180601_20180604,43.66,0.5147,44.11,0.0893,45.26,0.1417,61009,46,45.7,44.5
8,1101,20180601_20180604_20180605,43.75,0.1532,44.99,0.4078,45.46,0.1648,51231,45,45.0,44.65
9,1101,20180604_20180605_20180606,44.59,0.1335,45.05,0.4166,45.49,0.1304,51309,38,45.25,44.35
10,1101,20180605_20180606_20180607,44.72,0.4293,45.04,0.2949,45.59,0.0114,35521,24,45.15,44.3
11,1101,20180606_20180607_20180608,44.5,0.0563,44.73,0.5094,44.95,0.1533,31495,19,45.15,44.4
12,1102,20180523_20180524_20180525,33.48,0.4024,33.69,0.3764,34.1,0.0423,15985,27,33.85,32.6
13,1102,20180524_20180525_20180528,33.42,0.3571,33.63,0.4046,33.91,0.1156,13611,23,33.5,32.25
14,1102,20180525_20180528_20180529,32.72,0.1176,33.06,0.1412,33.5,0.3774,14520,27,33.3,32.3
15,1102,20180528_20180529_20180530,32.57,0.1875,32.94,0.2941,33.52,0.19,19328,33,33.35,32.75
16,1102,20180529_20180530_20180531,32.47,0.104,32.79,0.1745,33.06,0.5387,36891,26,33.6,33.45
17,1102,20180530_20180531_20180601,32.46,0.1038,32.81,0.1969,33.07,0.5068,36941,27,34.65,33.7
18,1102,20180531_20180601_20180604,32.66,0.1071,33.08,0.535,34.35,0.1152,39530,48,34.8,33.75
19,1102,20180601_20180604_20180605,33.0,0.1504,33.94,0.3208,34.51,0.2845,24001,41,34.3,33.7
20,1102,20180604_20180605_20180606,33.88,0.375,34.17,0.1214,34.55,0.2208,22173,27,34.4,33.6
21,1102,20180605_20180606_20180607,33.86,0.5487,34.06,0.244,34.32,0.1115,16695,22,34.0,33.6
22,1201,20180525_20180528_20180529,23.3,0.2262,23.8,0.2328,24.05,0.3842,6460,22,23.95,23.75
23,1201,20180528_20180529_20180530,23.27,0.1083,23.75,0.2683,24.02,0.2645,7524,21,24.2,23.65
24,1201,20180604_20180605_20180606,24.04,0.3314,24.31,0.0588,24.75,0.3879,6476,22,24.75,24.45
25,1201,20180605_20180606_20180607,24.13,0.1676,24.5,0.2532,24.75,0.4004,6718,22,24.85,24.45
26,1210,20180528_20180529_20180530,38.63,0.5062,39.11,0.1537,39.45,0.212,6244,27,39.0,38.65
27,1210,20180529_20180530_20180531,38.62,0.5064,38.8,0.1559,39.16,0.101,6676,21,39.65,39.6
28,1210,20180530_20180531_20180601,38.62,0.5714,38.82,0.1688,39.4,0.1488,6880,24,40.15,39.45
29,1210,20180531_20180601_20180604,38.74,0.2836,39.39,0.2398,39.85,0.2726,5454,34,39.95,39.45
30,1210,20180601_20180604_20180605,38.87,0.0189,39.42,0.2851,39.83,0.4297,5015,31,39.85,39.4
31,1215,20180528_20180529_20180530,58.32,0.2595,59.12,0.2357,59.61,0.2911,2686,21,58.6,58.3
32,1215,20180529_20180530_20180531,58.2,0.3383,58.48,0.4145,59.23,0.2245,2820,18,60.4,60.1
33,1215,20180530_20180531_20180601,58.3,0.5968,58.89,0.1036,59.77,0.0739,2654,24,61.0,60.5
34,1215,20180531_20180601_20180604,58.35,0.3224,59.74,0.1029,60.8,0.3398,2643,31,60.9,60.5
35,1215,20180601_20180604_20180605,58.73,0.0651,59.78,0.1283,60.74,0.5547,2120,28,60.9,60.1
36,1216,20180524_20180525_20180528,72.28,0.5237,72.81,0.0932,73.34,0.1584,16753,18,74.1,71.9
37,1216,20180525_20180528_20180529,72.31,0.2721,72.86,0.082,73.55,0.2823,15241,21,73.0,72.1
38,1216,20180528_20180529_20180530,72.02,0.1698,72.57,0.2758,73.54,0.2509,22961,23,73.1,72.5
