idx,symbol,date_group,price_1,qty_ratio_1,price_2,qty_ratio_2,price_3,qty_ratio_3,qty_total,price_item_count,plus_1_day_low_price,plus_1_day_high_price,plus_2_day_low_price,plus_2_day_high_price
1,1101,20180621_20180622_20180625,44.29,0.1137,44.58,0.3659,44.88,0.1291,19624,21,43.7,44.7,42.35,43.7
2,1101,20180622_20180625_20180626,43.88,0.3734,44.48,0.1419,44.89,0.1762,22935,29,42.35,43.7,42.25,43.0
3,1101,20180625_20180626_20180627,42.66,0.1084,43.09,0.4635,43.92,0.2908,32461,48,42.25,43.0,41.8,42.45
4,1101,20180626_20180627_20180628,42.52,0.2569,43.05,0.3714,43.92,0.2086,45241,50,41.8,42.45,41.5,42.75
5,1101,20180627_20180628_20180629,42.06,0.2253,42.46,0.3007,43.07,0.2626,54679,39,41.5,42.75,41.9,43.25
6,1101,20180628_20180629_20180702,41.83,0.1551,42.32,0.3087,42.76,0.0617,41973,31,41.9,43.25,41.6,42.5
7,1101,20180629_20180702_20180703,41.95,0.4516,42.39,0.2408,42.96,0.0527,58389,36,41.6,42.5,41.8,42.4
8,1101,20180702_20180703_20180704,41.88,0.537,42.43,0.1367,42.96,0.0542,56749,36,41.8,42.4,41.1,41.95
9,1101,20180703_20180704_20180705,41.95,0.4975,42.39,0.1888,42.96,0.0493,62397,34,41.1,41.95,41.6,42.95
10,1101,20180704_20180705_20180706,41.47,0.2165,41.89,0.3691,42.25,0.1367,53342,29,41.6,42.95,42.5,43.3
11,1101,20180705_20180706_20180709,41.53,0.2313,42.1,0.2809,42.78,0.1472,54350,38,42.5,43.3,41.9,42.6
12,1101,20180706_20180709_20180710,41.51,0.239,42.03,0.1412,42.89,0.3417,59465,45,41.9,42.6,41.95,43.1
13,1101,20180709_20180710_20180711,41.83,0.0771,42.22,0.3532,42.89,0.3448,55817,35,41.95,43.1,42.8,43.75
14,1101,20180710_20180711_20180712,42.19,0.3067,42.78,0.346,43.07,0.1776,48077,29,42.8,43.75,42.4,43.5
15,1101,20180711_20180712_20180713,42.2,0.3349,42.86,0.1614,43.5,0.2211,48899,38,42.4,43.5,42.1,42.8
16,1101,20180712_20180713_20180716,42.45,0.1823,42.89,0.2068,43.49,0.2212,43859,37,42.1,42.8,42.15,42.75
17,1101,20180713_20180716_20180717,42.38,0.1841,43.18,0.1484,43.58,0.29,39691,34,42.15,42.75,42.25,42.9
18,1101,20180716_20180717_20180718,42.24,0.4509,42.54,0.3986,43.11,0.0413,33845,29,42.25,42.9,42.1,43.05
19,1101,20180718_20180719_20180720,42.29,0.2053,42.56,0.2371,42.78,0.2458,44934,20,42.2,42.8,42.65,45.7
20,1101,20180719_20180720_20180723,42.36,0.2292,42.59,0.2925,42.78,0.2471,47889,20,42.65,45.7,44.7,45.5
21,1101,20180720_20180723_20180724,42.72,0.251,44.05,0.1155,45.36,0.2201,83994,72,44.7,45.5,40.1,42.2
22,1101,20180723_20180724_20180725,42.85,0.1048,44.07,0.1037,45.18,0.3821,93532,70,40.1,42.2,40.3,41.65
23,1101,20180724_20180725_20180726,41.04,0.2212,43.51,0.1329,45.13,0.3139,137283,104,40.3,41.65,40.5,41.25
24,1101,20180725_20180726_20180727,40.61,0.2796,41.45,0.1359,45.03,0.2041,114088,60,40.5,41.25,39.1,39.65
25,1101,20180726_20180727_20180730,40.56,0.2644,41.13,0.337,41.8,0.07,111037,43,39.1,39.65,39.55,41.4
26,1101,20180727_20180730_20180731,39.44,0.5,40.6,0.1161,41.15,0.1597,119821,39,39.55,41.4,40.45,41.1
27,1101,20180730_20180731_20180801,39.47,0.4402,40.17,0.0626,40.98,0.2129,151637,47,40.45,41.1,40.4,41.35
28,1101,20180731_20180801_20180802,39.48,0.4036,40.46,0.1345,40.99,0.2266,165385,47,40.4,41.35,40.2,40.75
29,1101,20180801_20180802_20180803,39.87,0.0617,40.63,0.2524,41.03,0.3237,121422,38,40.2,40.75,40.15,40.6
30,1101,20180802_20180803_20180806,40.51,0.3382,40.82,0.2498,41.05,0.1772,83864,24,40.15,40.6,40.35,41.05
31,1101,20180803_20180806_20180807,40.32,0.3253,40.53,0.2923,41.01,0.1439,67142,25,40.35,41.05,40.1,40.85
32,1101,20180806_20180807_20180808,40.32,0.2316,40.55,0.3373,40.81,0.0451,75133,19,40.1,40.85,40.6,41.7
33,1101,20180807_20180808_20180809,40.29,0.1731,40.57,0.3637,40.78,0.1674,79512,20,40.6,41.7,41.85,43.7
34,1101,20180808_20180809_20180810,40.56,0.4809,40.88,0.1897,41.36,0.1391,91964,32,41.85,43.7,42.2,43.65
35,1101,20180809_20180810_20180813,40.88,0.2275,42.35,0.3229,43.19,0.0978,133042,70,42.2,43.65,42.35,43.55
36,1101,20180810_20180813_20180814,41.16,0.1189,42.39,0.2828,43.17,0.2001,138250,60,42.35,43.55,42.0,43.0
37,1101,20180813_20180814_20180815,42.24,0.2205,42.7,0.2454,43.26,0.155,133355,38,42.0,43.0,41.8,42.6
38,1101,20180814_20180815_20180817,42.41,0.2057,42.84,0.2799,43.3,0.1712,78809,34,41.8,42.6,41.9,42.9
39,1101,20180815_20180817_20180820,42.07,0.2376,42.56,0.3319,43.11,0.0812,58208,36,41.9,42.9,42.6,43.2
40,1101,20180817_20180820_20180821,42.07,0.2928,42.46,0.2222,42.81,0.1156,45032,25,42.6,43.2,42.55,43.4
41,1101,20180820_20180821_20180822,42.05,0.3248,42.44,0.1288,42.91,0.2923,39961,29,42.55,43.4,42.6,43.05
42,1101,20180821_20180822_20180823,42.23,0.1204,42.8,0.3918,43.06,0.2747,42156,31,42.6,43.05,42.9,43.5
43,1101,20180822_20180823_20180824,42.73,0.3061,42.91,0.3461,43.14,0.1217,42978,18,42.9,43.5,43.0,43.6
44,1101,20180823_20180824_20180827,42.72,0.2221,42.96,0.2107,43.27,0.2129,43081,20,43.0,43.6,43.1,43.4
45,1101,20180824_20180827_20180828,42.73,0.1444,43.01,0.0715,43.32,0.4068,44416,21,43.1,43.4,41.5,43.35
46,1101,20180828_20180829_20180830,41.75,0.2571,42.44,0.0791,43.3,0.4334,66172,43,41.5,42.35,41.15,42.1
47,1101,20180829_20180830_20180831,41.72,0.369,42.39,0.1733,43.26,0.1893,74699,39,41.15,42.1,41.3,42.15
48,1102,20180621_20180622_20180625,32.73,0.1446,33.21,0.3303,33.72,0.202,18660,31,32.8,33.4,33.15,33.6
49,1102,20180622_20180625_20180626,32.95,0.2994,33.3,0.2594,33.74,0.2094,18005,29,33.15,33.6,32.65,33.1
50,1102,20180625_20180626_20180627,32.94,0.2206,33.19,0.2588,33.37,0.2606,13997,18,32.65,33.1,32.6,33.5
51,1102,20180626_20180627_20180628,32.83,0.3485,33.03,0.1753,33.31,0.1896,22927,20,32.6,33.5,33.4,34.25
52,1102,20180627_20180628_20180629,32.78,0.2693,32.98,0.2666,33.37,0.1235,23627,21,33.4,34.25,33.9,34.55
